dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32
train_FD001,999050,50,1,2018-01-06 06:01:09,FRON,KMCO,KMSY,-0.0029,-0.0002,100,518.67,642.66,1591.79,1401.3,14.62,21.6,554.6,2388.01,9064.12,1.3,47.47,521.68,2388.06,8151.49,8.4158,0.03,393,2388,100,38.8,23.3016
train_FD001,999050,50,2,2018-01-06 07:41:00,FRON,KMSY,KSAT,-0.0002,-0.0005,100,518.67,642.28,1587.84,1404.96,14.62,21.61,553.6,2388.06,9065.83,1.3,47.33,522.12,2388.07,8142.72,8.4467,0.03,392,2388,100,38.99,23.344
train_FD001,999050,50,3,2018-01-06 08:41:18,FRON,KMSY,KSAT,-0.001,-0.0005,100,518.67,642.21,1586.89,1404.47,14.62,21.61,554.31,2388.05,9065.63,1.3,47.48,521.96,2388.05,8139.14,8.4424,0.03,393,2388,100,38.91,23.319
train_FD001,999050,50,4,2018-01-06 10:14:00,FRON,KSAT,KSAN,-0.0061,-0.0002,100,518.67,643.19,1587.36,1398.9,14.62,21.61,554.35,2388.07,9059.91,1.3,47.3,522.31,2388.04,8145.16,8.4504,0.03,393,2388,100,38.95,23.3161
train_FD001,999050,50,5,2018-01-06 11:12:52,FRON,KSAT,KSAN,-0.0002,0.0001,100,518.67,642.47,1584.96,1406.08,14.62,21.61,554.03,2388,9073.29,1.3,47.44,522.05,2388.05,8145.35,8.3822,0.03,392,2388,100,38.83,23.3256
train_FD001,999050,50,6,2018-01-06 14:21:00,FRON,KSAN,KSAT,-0.0003,-0.0003,100,518.67,641.82,1585.3,1399.3,14.62,21.61,554.38,2388.02,9068.48,1.3,47.13,522.17,2388.04,8144.13,8.418,0.03,393,2388,100,38.8,23.4777
train_FD001,999050,50,7,2018-01-06 15:20:55,FRON,KSAN,KSAT,0.0026,-0.0005,100,518.67,642.39,1589.71,1410.22,14.62,21.61,553.41,2388.07,9065.43,1.3,47.32,522.44,2388.07,8142.57,8.4232,0.03,393,2388,100,38.7,23.3443
train_FD001,999050,50,8,2018-01-06 18:38:26,FRON,KSAT,KMSY,0.0011,0.0002,100,518.67,642.07,1590.7,1403.72,14.62,21.61,553.84,2388.04,9059.48,1.3,47.43,521.9,2388.08,8145.86,8.4063,0.03,393,2388,100,38.89,23.3815
train_FD001,999050,50,9,2018-01-06 20:46:00,FRON,KMSY,KMCO,0.0005,-0.0001,100,518.67,641.8,1592.23,1401.26,14.62,21.61,553.56,2388.02,9059.32,1.3,47.19,521.73,2388.04,8142.33,8.3988,0.03,390,2388,100,38.95,23.3749
train_FD001,999050,50,10,2018-01-07 06:20:00,FRON,KMCO,KTYS,0.0008,0.0001,100,518.67,642.26,1586.46,1404.42,14.62,21.61,553.29,2388.04,9071.98,1.3,47.41,521.8,2388.03,8142.1,8.4241,0.03,391,2388,100,38.96,23.3982
train_FD001,999050,50,11,2018-01-07 07:19:39,FRON,KMCO,KTYS,0.0016,0.0002,100,518.67,642.78,1594.91,1404.75,14.62,21.61,553.26,2388,9061.25,1.3,47.48,522.25,2388.05,8142.54,8.438,0.03,391,2388,100,38.94,23.253
train_FD001,999050,50,12,2018-01-07 09:40:51,FRON,KTYS,KMCO,-0.0005,-0.0001,100,518.67,642.22,1580.13,1403.97,14.62,21.61,553.98,2388.11,9069.15,1.3,47.43,522.09,2388.08,8141.59,8.4472,0.03,392,2388,100,38.9,23.3085
train_FD001,999050,50,13,2018-01-07 11:10:00,FRON,KMCO,KTTN,0.0026,-0.0002,100,518.67,642.85,1586.51,1403.74,14.62,21.61,553.53,2388.07,9056.25,1.3,47.38,521.63,2388.07,8140.68,8.403,0.03,393,2388,100,38.91,23.1514
train_FD001,999050,50,14,2018-01-07 12:09:30,FRON,KMCO,KTTN,-0.0036,0.0002,100,518.67,642.17,1593.23,1396.05,14.62,21.61,554.17,2388.06,9061.89,1.3,47.63,521.69,2388.02,8147.92,8.4304,0.03,392,2388,100,38.84,23.38
