dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32
train_FD001,999056,56,1,2018-01-01 06:33:13,PGT,LTBJ,LTCR,0.0012,-0.0004,100,518.67,642.75,1586.44,1412.72,14.62,21.61,552.68,2388.1,9059.1,1.3,47.72,521.18,2388.13,8136.92,8.4412,0.03,395,2388,100,38.81,23.2391
train_FD001,999056,56,2,2018-01-01 09:40:21,PGT,LTCR,LTBJ,0.0012,-0.0004,100,518.67,642.47,1584.96,1410.405,14.62,21.61,552.9,2388.12,9057.99,1.3,47.42,520.82,2388.08,8133.11,8.4461,0.03,394,2388,100,38.82,23.334
train_FD001,999056,56,3,2018-01-01 12:23:01,PGT,LTBJ,LTFJ,0.0026,0.0005,100,518.67,642.52,1587.64,1403.7,14.62,21.61,553.52,2388.13,9054.91,1.3,47.48,521.7,2388.12,8136.86,8.4357,0.03,394,2388,100,38.89,23.2844
train_FD001,999056,56,4,2018-01-01 14:11:10,PGT,LTFJ,LTCG,0.0034,-0.0002,100,518.67,642.51,1587.8,1410.585,14.62,21.61,553.6,2388.13,9045.3,1.3,47.49,522.06,2388.18,8132.53,8.4411,0.03,394,2388,100,38.79,23.3204
train_FD001,999056,56,5,2018-01-01 21:10:50,PGT,LTCG,LTFJ,0.0024,-0.0001,100,518.67,643.08,1593.15,1401.46,14.62,21.61,553.45,2388.03,9046.37,1.3,47.67,521.36,2388.16,8133.47,8.4824,0.03,394,2388,100,39,23.3592
train_FD001,999056,56,6,2018-01-02 00:09:11,PGT,LTFJ,LTCN,0.001,-0.0002,100,518.67,642.52,1589.19,1408.88,14.62,21.61,553.22,2388.12,9054.19,1.3,47.77,520.98,2388.13,8132.14,8.4382,0.03,393,2388,100,38.83,23.2568
train_FD001,999056,56,7,2018-01-02 02:00:11,PGT,LTCN,LTFJ,-0.0033,0.0001,100,518.67,642.73,1585.09,1405.88,14.62,21.61,552.52,2388.12,9049.44,1.3,47.63,520.83,2388.1,8128.3,8.4429,0.03,394,2388,100,38.86,23.1591
train_FD001,999056,56,8,2018-01-02 04:18:22,PGT,LTFJ,LTCE,0.0027,-0.0003,100,518.67,643.07,1586,1409.73,14.62,21.61,552.68,2388.09,9054.87,1.3,47.67,521.14,2388.11,8130.56,8.4567,0.03,392,2388,100,38.79,23.2923
train_FD001,999056,56,9,2018-01-02 06:28:19,PGT,LTCE,LTFJ,-0.0031,-0.0001,100,518.67,642.56,1591.69,1409.36,14.62,21.61,552.76,2388.1,9058.91,1.3,47.53,521.23,2388.12,8129.56,8.403,0.03,394,2388,100,38.96,23.2503
train_FD001,999056,56,10,2018-01-02 08:53:04,PGT,LTFJ,LTAC,-0.0018,0.0001,100,518.67,643,1591.38,1409.87,14.62,21.61,553.25,2388.12,9062.51,1.3,47.62,521.83,2388.06,8132.73,8.4092,0.03,393,2388,100,38.91,23.2937
train_FD001,999056,56,11,2018-01-02 10:26:43,PGT,LTAC,LTFJ,-0.0011,-0.0001,100,518.67,642.71,1589.35,1406.95,14.62,21.61,553.1,2388.08,9049.4,1.3,47.59,521.54,2388.14,8134.3,8.4431,0.03,394,2388,100,38.78,23.2707
